student_id,student_name,c_internal_exam1_marks,c_internal_exam2_marks,c_attendance_percentage,c_final_exam_marks,c_preparation_time_daily_hours,java_internal_exam1_marks,java_internal_exam2_marks,java_attendance_percentage,java_final_exam_marks,java_preparation_time_daily_hours,python_internal_exam1_marks,python_internal_exam2_marks,python_attendance_percentage,python_final_exam_marks,python_preparation_time_daily_hours,cn_internal_exam1_marks,cn_internal_exam2_marks,cn_attendance_percentage,cn_final_exam_marks,cn_preparation_time_daily_hours,dsa_internal_exam1_marks,dsa_internal_exam2_marks,dsa_attendance_percentage,dsa_final_exam_marks,dsa_preparation_time_daily_hours
1,Marcel Rack,2,18,23.46,14,11.68,35,29,34.43,40,18.94,16,30,88.14,100,13.38,33,38,78.81,25,3.37,11,38,21.86,88,16.76
2,Barrett Pitfield,26,25,6.42,84,7.94,31,21,2.45,85,15.11,32,22,4.15,88,20.07,2,49,26.49,1,12.34,0,28,77.7,91,13.11
3,Marley Perin,17,32,55.67,29,16.15,6,20,54.37,96,23.43,44,0,38.24,17,9.49,50,48,52.05,58,18.47,32,8,11.64,89,23.69
4,Dewain McPhelim,7,11,73.16,20,9.23,28,30,69.54,58,20.73,48,33,0.2,43,0.99,25,39,62.62,50,19.42,16,14,86.84,70,22.3
5,Maryjo Grundy,45,6,23.29,97,10.8,1,1,37.48,91,5.48,36,31,93.88,48,10.9,22,8,91.7,61,10.92,25,33,62.14,95,8.54
6,Iggie Gemeau,32,19,72.61,93,16.38,2,20,23.99,49,2.5,41,8,20.08,23,8.7,18,33,3.8,95,8.52,19,31,53.11,94,4.95
7,Herta Absolom,42,6,10.4,55,8.48,20,0,22.32,28,16.88,10,45,40.35,23,13.8,28,16,26.45,32,9.33,16,17,9.81,0,11.78
8,Vi Farrants,38,24,19.2,65,14.35,49,22,36.61,20,21.39,19,39,70.35,8,18.34,32,14,50.97,69,20.77,46,38,76.65,72,0.94
9,Isis Kimpton,14,33,7.43,99,11.84,6,37,12.89,17,2.48,14,1,20.43,85,0.31,13,23,87.64,84,14.3,17,7,76.8,96,5.85
10,Con Dallmann,14,16,90.82,2,17.25,42,30,19.23,35,21.06,1,46,5.88,88,4.35,44,40,22.88,86,20.1,12,24,13.5,26,14.89
